flow_cfs,floodplain_acres,watershed,species
150.759020316168,527.344492163474,Sutter Bypass,Steelhead
195.616811525019,631.553794879151,Sutter Bypass,Steelhead
249.990497727468,678.81889874417,Sutter Bypass,Steelhead
281.524889535855,735.555466116693,Sutter Bypass,Steelhead
395.011937274834,820.019106575776,Sutter Bypass,Steelhead
487.795500760251,897.357669483928,Sutter Bypass,Steelhead
552.159427623057,932.113355309991,Sutter Bypass,Steelhead
588.941792068086,954.009119178147,Sutter Bypass,Steelhead
692.546040273083,1009.4774900768,Sutter Bypass,Steelhead
752.386670680862,1029.53903364509,Sutter Bypass,Steelhead
813.558561493078,1054.83561385823,Sutter Bypass,Steelhead
877.832260052775,1098.02558562492,Sutter Bypass,Steelhead
1082.01422150765,1152.99266241691,Sutter Bypass,Steelhead
1204.13693474488,1179.7960259278,Sutter Bypass,Steelhead
1324.86993756072,1205.09260614095,Sutter Bypass,Steelhead
1330.71337969686,1228.60697656192,Sutter Bypass,Steelhead
1895.27934858095,1365.25155660829,Sutter Bypass,Steelhead
2181.7589952538,1439.63084134376,Sutter Bypass,Steelhead
2385.06988493766,1453.19038777534,Sutter Bypass,Steelhead
2430.8276620183,1511.72550187274,Sutter Bypass,Steelhead
3349.22189378491,1742.65872834779,Sutter Bypass,Steelhead
6332.44078261618,2114.32529938392,Sutter Bypass,Steelhead
8440.36429512933,2125.50531038894,Sutter Bypass,Steelhead
9489.74592677299,2204.8036334905,Sutter Bypass,Steelhead
10759.2543717617,2366.92146284621,Sutter Bypass,Steelhead
11253.2874762184,2434.92259140139,Sutter Bypass,Steelhead
12869.1019495831,2481.92422244878,Sutter Bypass,Steelhead
13772.8445975348,2510.75492196927,Sutter Bypass,Steelhead
14713.0890746438,2533.27967490883,Sutter Bypass,Steelhead
17820.8335846422,2556.60987802003,Sutter Bypass,Steelhead
20430.9045928797,2583.70953641155,Sutter Bypass,Steelhead
24566.4436629696,2677.24417554084,Sutter Bypass,Steelhead
30396.9255636739,2694.0198047872,Sutter Bypass,Steelhead
35202.5872733161,2742.06775939464,Sutter Bypass,Steelhead
39637.9502661512,2754.81405997152,Sutter Bypass,Steelhead
46585.4862572863,2781.05800289581,Sutter Bypass,Steelhead
51104.3297138115,2797.62494034155,Sutter Bypass,Steelhead
61974.8808796146,2847.53399089694,Sutter Bypass,Steelhead
67821.241013601,2867.63019710836,Sutter Bypass,Steelhead
82601.4330472798,2886.98888095878,Sutter Bypass,Steelhead
92514.4019996762,2902.80327077552,Sutter Bypass,Steelhead
112371.917786593,2941.42611785085,Sutter Bypass,Steelhead
