WUA in square feet,Reach 6 – keswick to ACID; reach 5 ACID to Cow; reach 4 cow to battle; reach 3 battle to red bluff; add reach 2 redbluff to deer to represent spawning on upmid sac,,,,,,,,,,,,
flow_cfs,FR_spawn_WUA,LFR_spawn_WUA,WR_spawn_WUA,ST_spawn_WUA,FR_fry_WUA,LFR_fry_WUA,WR_fry_WUA,FR_juv_WUA,LFR_juv_WUA,WR_juv_WUA,Segment,length,length_unit
"11,000","1,113,170",,,,,,,,,,3,22.5,mi
"12,000","931,671",,,,,,,,,,3,22.5,mi
"13,000","761,541",,,,,,,,,,3,22.5,mi
"14,000","623,105",,,,,,,,,,3,22.5,mi
"15,000","519,158",,,,,,,,,,3,22.5,mi
"17,000","375,616",,,,,,,,,,3,22.5,mi
"19,000","306,254",,,,,,,,,,3,22.5,mi
"21,000","249,897",,,,,,,,,,3,22.5,mi
"23,000","219,551",,,,,,,,,,3,22.5,mi
"25,000","208,183",,,,,,,,,,3,22.5,mi
"27,000","189,687",,,,,,,,,,3,22.5,mi
"29,000","169,263",,,,,,,,,,3,22.5,mi
"31,000","145,950",,,,,,,,,,3,22.5,mi
"3,250","664,478",,,,,,,,,,2,23.5,mi
"3,500","690,470",,,,,,,,,,2,23.5,mi
"3,750","716,672",,,,,,,,,,2,23.5,mi
"4,000","749,389",,,,,,,,,,2,23.5,mi
"4,250","772,961",,,,,,,,,,2,23.5,mi
"4,500","788,484",,,,,,,,,,2,23.5,mi
"4,750","804,195",,,,,,,,,,2,23.5,mi
"5,000","813,277",,,,,,,,,,2,23.5,mi
"5,250","834,650",,,,,,,,,,2,23.5,mi
"5,500","840,017",,,,,,,,,,2,23.5,mi
"6,000","837,349",,,,,,,,,,2,23.5,mi
"6,500","827,673",,,,,,,,,,2,23.5,mi
"7,000","816,034",,,,,,,,,,2,23.5,mi
"7,500","794,469",,,,,,,,,,2,23.5,mi
"8,000","772,727",,,,,,,,,,2,23.5,mi
"9,000","714,911",,,,,,,,,,2,23.5,mi
"10,000","657,959",,,,,,,,,,2,23.5,mi
"11,000","599,437",,,,,,,,,,2,23.5,mi
"12,000","551,608",,,,,,,,,,2,23.5,mi
"13,000","508,277",,,,,,,,,,2,23.5,mi
"14,000","471,211",,,,,,,,,,2,23.5,mi
"15,000","433,729",,,,,,,,,,2,23.5,mi
"17,000","373,496",,,,,,,,,,2,23.5,mi
"19,000","324,499",,,,,,,,,,2,23.5,mi
"21,000","279,498",,,,,,,,,,2,23.5,mi
"23,000","242,958",,,,,,,,,,2,23.5,mi
"25,000","213,431",,,,,,,,,,2,23.5,mi
"27,000","193,150",,,,,,,,,,2,23.5,mi
"29,000","171,458",,,,,,,,,,2,23.5,mi
"31,000","152,315",,,,,,,,,,2,23.5,mi
