species,scenario,life_stage,suit_type,flow,suit_acres,timestamp,has_lowering
Steelhead,Existing,fry,instream,500,0.31328556229415727,2018-11-16T22:00:00Z,NA
Steelhead,Existing,fry,floodplain,500,7.752922078300351,2018-11-16T22:00:00Z,NA
Steelhead,Existing,juv,instream,500,40.91034143472423,2018-11-16T22:00:00Z,NA
Steelhead,Existing,juv,floodplain,500,32.22279405126902,2018-11-16T22:00:00Z,NA
Steelhead,Existing,spawn,instream,600,22.904934510722633,2018-11-17T08:00:00Z,NA
Steelhead,Existing,fry,instream,600,0.21349784004508993,2018-11-17T08:00:00Z,NA
Steelhead,Existing,fry,floodplain,600,9.006372599789076,2018-11-17T08:00:00Z,NA
Steelhead,Existing,juv,instream,600,37.6498777695093,2018-11-17T08:00:00Z,NA
Steelhead,Existing,juv,floodplain,600,38.246340651691206,2018-11-17T08:00:00Z,NA
Steelhead,Existing,spawn,instream,1000,12.90387359584001,2018-11-17T18:00:00Z,NA
Steelhead,Existing,fry,instream,1000,0.0928379327225418,2018-11-17T18:00:00Z,NA
Steelhead,Existing,fry,floodplain,1000,12.25881441443932,2018-11-17T18:00:00Z,NA
Steelhead,Existing,juv,instream,1000,26.180617834044995,2018-11-17T18:00:00Z,NA
Steelhead,Existing,juv,floodplain,1000,57.14063483536971,2018-11-17T18:00:00Z,NA
Steelhead,Existing,spawn,instream,3000,2.7270881243012726,2018-11-18T04:00:00Z,NA
Steelhead,Existing,fry,instream,3000,0.0014098443123825607,2018-11-18T04:00:00Z,NA
Steelhead,Existing,fry,floodplain,3000,16.209509727821164,2018-11-18T04:00:00Z,NA
Steelhead,Existing,juv,instream,3000,2.550480658684716,2018-11-18T04:00:00Z,NA
Steelhead,Existing,juv,floodplain,3000,112.11496754212796,2018-11-18T04:00:00Z,NA
Steelhead,Existing,spawn,instream,5000,1.245905032717904,2018-11-18T14:00:00Z,NA
Steelhead,Existing,fry,instream,5000,2.1535922594659448e-4,2018-11-18T14:00:00Z,NA
Steelhead,Existing,fry,floodplain,5000,18.07568794105606,2018-11-18T14:00:00Z,NA
Steelhead,Existing,juv,instream,5000,0.5758990803622888,2018-11-18T14:00:00Z,NA
Steelhead,Existing,juv,floodplain,5000,137.77445163320826,2018-11-18T14:00:00Z,NA
Steelhead,Existing,spawn,instream,6000,0.9476090379317399,2018-11-19T00:00:00Z,NA
Steelhead,Existing,fry,instream,6000,1.3387787054095366e-4,2018-11-19T00:00:00Z,NA
Steelhead,Existing,fry,floodplain,6000,20.132030060357337,2018-11-19T00:00:00Z,NA
Steelhead,Existing,juv,instream,6000,0.33188770369950565,2018-11-19T00:00:00Z,NA
Steelhead,Existing,juv,floodplain,6000,147.33716345268064,2018-11-19T00:00:00Z,NA
Steelhead,Existing,spawn,instream,7000,0.7958427578620472,2018-11-19T10:00:00Z,NA
Steelhead,Existing,fry,instream,7000,8.920739519952523e-5,2018-11-19T10:00:00Z,NA
Steelhead,Existing,fry,floodplain,7000,22.32451602104415,2018-11-19T10:00:00Z,NA
Steelhead,Existing,juv,instream,7000,0.21745667498925605,2018-11-19T10:00:00Z,NA
Steelhead,Existing,juv,floodplain,7000,154.01621619158806,2018-11-19T10:00:00Z,NA
Steelhead,Existing,spawn,instream,9000,0.529768705770974,2018-11-19T20:00:00Z,NA
Steelhead,Existing,fry,instream,9000,5.777018720622436e-5,2018-11-19T20:00:00Z,NA
Steelhead,Existing,fry,floodplain,9000,23.17709807172945,2018-11-19T20:00:00Z,NA
Steelhead,Existing,juv,instream,9000,0.11435599429307268,2018-11-19T20:00:00Z,NA
Steelhead,Existing,juv,floodplain,9000,163.833319740725,2018-11-19T20:00:00Z,NA
Steelhead,Existing,spawn,instream,10000,0.451390326833055,2018-11-20T06:00:00Z,NA
Steelhead,Existing,fry,instream,10000,4.392577743012806e-5,2018-11-20T06:00:00Z,NA
Steelhead,Existing,fry,floodplain,10000,23.907495974970903,2018-11-20T06:00:00Z,NA
Steelhead,Existing,juv,instream,10000,0.08841168083939241,2018-11-20T06:00:00Z,NA
Steelhead,Existing,juv,floodplain,10000,167.86606753008476,2018-11-20T06:00:00Z,NA
Steelhead,Existing,spawn,instream,11000,0.37605053727328475,2018-11-20T16:00:00Z,NA
Steelhead,Existing,fry,instream,11000,3.7502116215122786e-5,2018-11-20T16:00:00Z,NA
Steelhead,Existing,fry,floodplain,11000,24.043031624752203,2018-11-20T16:00:00Z,NA
Steelhead,Existing,juv,instream,11000,0.06729921421819286,2018-11-20T16:00:00Z,NA
Steelhead,Existing,juv,floodplain,11000,171.61736278000797,2018-11-20T16:00:00Z,NA
Steelhead,Existing,spawn,instream,12000,0.23924279023673886,2018-11-21T02:00:00Z,NA
Steelhead,Existing,fry,instream,12000,3.238921846624548e-5,2018-11-21T02:00:00Z,NA
Steelhead,Existing,fry,floodplain,12000,24.179582402018358,2018-11-21T02:00:00Z,NA
Steelhead,Existing,juv,instream,12000,0.057532986717206996,2018-11-21T02:00:00Z,NA
Steelhead,Existing,juv,floodplain,12000,174.67834349071356,2018-11-21T02:00:00Z,NA
Steelhead,Existing,spawn,instream,13000,0.16941223064495353,2018-11-21T12:00:00Z,NA
Steelhead,Existing,fry,instream,13000,2.8457082893471667e-5,2018-11-21T12:00:00Z,NA
Steelhead,Existing,fry,floodplain,13000,24.420351616356903,2018-11-21T12:00:00Z,NA
Steelhead,Existing,juv,instream,13000,0.050783057017694755,2018-11-21T12:00:00Z,NA
Steelhead,Existing,juv,floodplain,13000,177.5191422047536,2018-11-21T12:00:00Z,NA
Steelhead,Existing,spawn,instream,14000,0.1472670638485323,2018-11-21T22:00:00Z,NA
Steelhead,Existing,fry,instream,14000,2.185324511325721e-5,2018-11-21T22:00:00Z,NA
Steelhead,Existing,fry,floodplain,14000,26.2498277271741,2018-11-21T22:00:00Z,NA
Steelhead,Existing,juv,instream,14000,0.0454242331778959,2018-11-21T22:00:00Z,NA
Steelhead,Existing,juv,floodplain,14000,180.8653306745466,2018-11-21T22:00:00Z,NA
Steelhead,Existing,spawn,instream,15000,0.12849922444753367,2018-11-22T08:00:00Z,NA
Steelhead,Existing,fry,instream,15000,2.0136782598524374e-5,2018-11-22T08:00:00Z,NA
Steelhead,Existing,fry,floodplain,15000,26.60755394943028,2018-11-22T08:00:00Z,NA
Steelhead,Existing,juv,instream,15000,0.03917142672058389,2018-11-22T08:00:00Z,NA
Steelhead,Existing,juv,floodplain,15000,184.7329334406086,2018-11-22T08:00:00Z,NA
Steelhead,Proposed,spawn,instream,100,30.452672561282277,2018-11-15T06:00:00Z,FALSE
Steelhead,Proposed,fry,instream,100,1.8708313872692637,2018-11-15T06:00:00Z,FALSE
Steelhead,Proposed,fry,floodplain,100,4.269149767668317,2018-11-15T06:00:00Z,FALSE
Steelhead,Proposed,juv,instream,100,36.33842912107434,2018-11-15T06:00:00Z,FALSE
Steelhead,Proposed,juv,floodplain,100,8.72609541790566,2018-11-15T06:00:00Z,FALSE
Steelhead,Proposed,spawn,instream,250,36.83911029352684,2018-11-15T16:00:00Z,FALSE
Steelhead,Proposed,fry,instream,250,0.9527011815846408,2018-11-15T16:00:00Z,FALSE
Steelhead,Proposed,fry,floodplain,250,5.222478973311324,2018-11-15T16:00:00Z,FALSE
Steelhead,Proposed,juv,instream,250,44.40192785261975,2018-11-15T16:00:00Z,FALSE
Steelhead,Proposed,juv,floodplain,250,17.40977489637847,2018-11-15T16:00:00Z,FALSE
Steelhead,Proposed,spawn,instream,300,35.01523165547131,2018-11-16T02:00:00Z,FALSE
Steelhead,Proposed,fry,instream,300,0.7318596039129264,2018-11-16T02:00:00Z,FALSE
Steelhead,Proposed,fry,floodplain,300,6.0234941474894805,2018-11-16T02:00:00Z,FALSE
Steelhead,Proposed,juv,instream,300,44.902846963422036,2018-11-16T02:00:00Z,FALSE
Steelhead,Proposed,juv,floodplain,300,20.793151226163506,2018-11-16T02:00:00Z,FALSE
Steelhead,Proposed,spawn,instream,400,30.430718022936414,2018-11-16T12:00:00Z,FALSE
